Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),vaping device: (United Kingdom)
2014-01-05,9,12,14,9
2014-01-12,0,18,28,9
2014-01-19,18,18,18,9
2014-01-26,12,15,18,9
2014-02-02,23,0,28,9
2014-02-09,18,9,15,9
2014-02-16,14,19,19,0
2014-02-23,19,9,28,0
2014-03-02,19,16,22,0
2014-03-09,10,13,13,0
2014-03-16,9,19,19,0
2014-03-23,14,9,32,0
2014-03-30,14,28,13,0
2014-04-06,0,19,19,0
2014-04-13,10,20,14,20
2014-04-20,9,28,16,9
2014-04-27,19,15,15,9
2014-05-04,9,14,14,0
2014-05-11,9,19,16,0
2014-05-18,0,15,29,0
2014-05-25,16,14,10,0
2014-06-01,14,21,15,0
2014-06-08,16,11,39,11
2014-06-15,18,11,22,11
2014-06-22,18,16,39,11
2014-06-29,11,0,22,0
2014-07-06,21,11,11,0
2014-07-13,16,11,28,11
2014-07-20,18,11,28,0
2014-07-27,11,22,18,0
2014-08-03,11,19,23,0
2014-08-10,21,32,14,0
2014-08-17,25,18,32,0
2014-08-24,18,11,26,11
2014-08-31,21,10,17,0
2014-09-07,21,17,41,0
2014-09-14,20,17,17,0
2014-09-21,20,10,24,0
2014-09-28,20,13,26,0
2014-10-05,13,40,10,10
2014-10-12,20,10,10,0
2014-10-19,20,15,13,10
2014-10-26,10,10,26,0
2014-11-02,14,16,48,14
2014-11-09,26,26,22,9
2014-11-16,20,16,26,10
2014-11-23,19,19,28,9
2014-11-30,19,14,32,0
2014-12-07,10,16,26,0
2014-12-14,27,10,31,0
2014-12-21,20,12,24,0
2014-12-28,14,14,42,11
2015-01-04,36,24,36,9
2015-01-11,21,18,36,0
2015-01-18,23,49,27,0
2015-01-25,21,30,24,0
2015-02-01,21,25,37,0
2015-02-08,28,37,22,0
2015-02-15,25,9,28,9
2015-02-22,15,15,30,0
2015-03-01,22,9,49,9
2015-03-08,31,32,28,0
2015-03-15,28,15,31,0
2015-03-22,37,25,50,0
2015-03-29,29,24,32,10
2015-04-05,27,23,37,0
2015-04-12,26,0,35,0
2015-04-19,19,22,25,9
2015-04-26,25,23,34,0
2015-05-03,24,23,33,9
2015-05-10,28,19,31,14
2015-05-17,9,19,53,0
2015-05-24,16,14,32,0
2015-05-31,19,18,28,0
2015-06-07,41,19,38,0
2015-06-14,35,9,28,9
2015-06-21,33,16,48,9
2015-06-28,32,19,19,0
2015-07-05,34,25,37,0
2015-07-12,34,23,63,9
2015-07-19,32,41,25,10
2015-07-26,16,22,47,9
2015-08-02,29,22,65,10
2015-08-09,32,41,38,9
2015-08-16,44,32,63,0
2015-08-23,40,37,47,19
2015-08-30,32,24,38,10
2015-09-06,32,38,54,10
2015-09-13,43,37,46,0
2015-09-20,42,18,51,0
2015-09-27,34,41,58,9
2015-10-04,36,45,54,9
2015-10-11,33,9,100,0
2015-10-18,39,41,75,9
2015-10-25,43,40,64,0
2015-11-01,24,38,83,0
2015-11-08,35,53,38,9
2015-11-15,27,21,44,9
2015-11-22,29,17,37,0
2015-11-29,35,30,44,9
2015-12-06,30,42,48,0
2015-12-13,41,38,38,0
2015-12-20,43,40,86,0
2015-12-27,90,67,80,0
