Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),vaping device: (United Kingdom)
2015-05-03,18,9,14,0
2015-05-10,18,23,37,9
2015-05-17,9,18,41,0
2015-05-24,14,14,43,0
2015-05-31,18,9,23,0
2015-06-07,14,9,28,0
2015-06-14,28,9,47,0
2015-06-21,37,19,61,0
2015-06-28,28,23,47,9
2015-07-05,55,23,27,9
2015-07-12,28,28,50,9
2015-07-19,23,47,28,9
2015-07-26,28,23,28,0
2015-08-02,19,24,28,10
2015-08-09,42,51,32,0
2015-08-16,42,32,79,0
2015-08-23,32,32,55,9
2015-08-30,19,42,37,9
2015-09-06,42,9,79,0
2015-09-13,41,27,68,9
2015-09-20,36,9,18,9
2015-09-27,36,44,49,0
2015-10-04,49,22,49,9
2015-10-11,49,9,84,0
2015-10-18,31,26,35,0
2015-10-25,36,18,72,0
2015-11-01,39,44,74,0
2015-11-08,31,44,31,9
2015-11-15,43,17,34,0
2015-11-22,13,13,25,0
2015-11-29,39,38,73,0
2015-12-06,48,35,61,0
2015-12-13,37,32,51,0
2015-12-20,27,21,69,11
2015-12-27,69,44,87,0
2016-01-03,31,62,49,9
2016-01-10,61,43,48,0
2016-01-17,49,31,49,0
2016-01-24,52,35,39,0
2016-01-31,44,9,48,0
2016-02-07,49,22,35,0
2016-02-14,50,27,32,9
2016-02-21,49,36,71,13
2016-02-28,57,18,79,0
2016-03-06,44,22,18,9
2016-03-13,23,18,50,0
2016-03-20,55,27,41,9
2016-03-27,55,32,27,0
2016-04-03,27,63,22,0
2016-04-10,54,23,54,9
2016-04-17,49,31,40,9
2016-04-24,35,17,74,0
2016-05-01,36,63,54,0
2016-05-08,50,68,55,9
2016-05-15,67,76,58,0
2016-05-22,60,51,88,9
2016-05-29,47,42,56,9
2016-06-05,60,42,51,0
2016-06-12,53,40,71,0
2016-06-19,27,45,54,9
2016-06-26,77,23,81,9
2016-07-03,33,43,72,10
2016-07-10,34,33,48,0
2016-07-17,41,36,87,0
2016-07-24,34,29,54,10
2016-07-31,55,15,65,0
2016-08-07,52,26,67,10
2016-08-14,31,16,73,10
2016-08-21,25,25,51,0
2016-08-28,54,35,64,0
2016-09-04,38,33,33,0
2016-09-11,43,44,68,10
2016-09-18,43,47,66,0
2016-09-25,42,42,46,9
2016-10-02,47,47,70,0
2016-10-09,9,19,55,0
2016-10-16,37,37,79,0
2016-10-23,46,56,89,9
2016-10-30,46,46,46,0
2016-11-06,49,35,44,18
2016-11-13,53,26,31,9
2016-11-20,56,39,26,0
2016-11-27,48,31,75,0
2016-12-04,31,18,44,9
2016-12-11,32,28,56,0
2016-12-18,30,40,45,0
2016-12-25,35,20,85,0
2017-01-01,48,39,69,0
2017-01-08,45,29,58,0
2017-01-15,59,63,25,17
2017-01-22,47,21,51,0
2017-01-29,41,29,49,0
2017-02-05,76,30,42,0
2017-02-12,30,26,55,13
2017-02-19,54,29,42,0
2017-02-26,53,20,61,0
2017-03-05,66,29,70,0
2017-03-12,37,33,66,8
2017-03-19,51,43,30,0
2017-03-26,39,17,56,0
2017-04-02,70,31,35,0
2017-04-09,53,27,40,18
2017-04-16,61,22,48,0
2017-04-23,50,25,58,8
2017-04-30,68,17,46,0
2017-05-07,55,21,72,0
2017-05-14,48,78,100,9
2017-05-21,50,36,41,9
2017-05-28,49,22,94,0
2017-06-04,64,47,60,8
2017-06-11,54,45,23,9
2017-06-18,39,22,35,9
2017-06-25,36,31,53,0
2017-07-02,46,45,41,0
2017-07-09,53,22,27,9
2017-07-16,27,27,62,0
2017-07-23,57,17,39,0
2017-07-30,39,60,52,0
2017-08-06,53,13,39,9
2017-08-13,35,35,53,0
2017-08-20,40,31,40,0
2017-08-27,54,13,49,0
2017-09-03,30,26,56,8
2017-09-10,43,42,43,0
2017-09-17,47,13,38,0
2017-09-24,75,13,33,0
2017-10-01,50,21,33,0
2017-10-08,29,21,42,0
2017-10-15,25,16,49,0
2017-10-22,37,37,37,0
2017-10-29,45,54,66,0
2017-11-05,29,12,37,17
2017-11-12,69,16,24,8
2017-11-19,24,20,31,0
2017-11-26,41,16,29,0
2017-12-03,33,21,54,0
2017-12-10,42,25,29,17
2017-12-17,36,14,45,9
2017-12-24,42,0,38,9
2017-12-31,33,46,54,8
2018-01-07,48,56,28,16
2018-01-14,39,16,55,8
2018-01-21,55,20,47,8
2018-01-28,63,63,43,0
2018-02-04,44,48,20,0
2018-02-11,61,24,57,0
2018-02-18,32,28,32,8
2018-02-25,30,19,38,8
2018-03-04,32,20,24,8
2018-03-11,48,24,28,8
2018-03-18,60,16,40,0
2018-03-25,37,17,37,17
2018-04-01,49,0,58,0
2018-04-08,40,20,32,0
2018-04-15,38,25,33,8
2018-04-22,23,23,31,0
2018-04-29,33,28,41,8
2018-05-06,17,29,46,0
2018-05-13,46,21,29,8
2018-05-20,33,17,33,0
2018-05-27,57,33,20,8
2018-06-03,25,45,21,0
2018-06-10,36,20,32,0
2018-06-17,33,29,25,0
2018-06-24,38,25,17,8
2018-07-01,29,25,29,0
2018-07-08,57,8,36,0
2018-07-15,38,34,34,8
2018-07-22,34,21,55,0
2018-07-29,41,8,54,0
2018-08-05,29,12,29,0
2018-08-12,58,54,37,0
2018-08-19,30,34,51,0
2018-08-26,30,39,26,9
2018-09-02,75,33,8,8
2018-09-09,38,21,46,0
2018-09-16,41,24,41,0
2018-09-23,46,25,46,8
2018-09-30,41,33,33,25
2018-10-07,50,37,54,0
2018-10-14,42,17,42,8
2018-10-21,42,13,46,8
2018-10-28,33,25,29,0
2018-11-04,76,24,32,8
2018-11-11,29,20,16,0
2018-11-18,36,24,40,8
2018-11-25,56,28,12,0
2018-12-02,45,16,33,0
2018-12-09,47,17,17,0
2018-12-16,35,31,35,9
2018-12-23,43,29,38,0
2018-12-30,64,68,47,0
