Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),vaping device: (United Kingdom)
2014-01-05,18,0,14,9
2014-01-12,0,13,18,9
2014-01-19,27,9,23,9
2014-01-26,9,18,31,9
2014-02-02,37,19,19,9
2014-02-09,18,9,27,9
2014-02-16,14,14,9,0
2014-02-23,9,18,23,0
2014-03-02,19,19,9,0
2014-03-09,19,9,28,0
2014-03-16,18,9,28,0
2014-03-23,14,18,27,0
2014-03-30,14,32,27,0
2014-04-06,0,28,19,0
2014-04-13,10,10,30,10
2014-04-20,18,9,14,0
2014-04-27,9,9,9,9
2014-05-04,18,18,9,0
2014-05-11,19,28,23,0
2014-05-18,10,10,58,10
2014-05-25,11,16,26,0
2014-06-01,10,10,30,0
2014-06-08,32,11,21,11
2014-06-15,21,16,37,0
2014-06-22,11,10,73,0
2014-06-29,0,0,43,0
2014-07-06,10,16,21,0
2014-07-13,10,10,26,10
2014-07-20,21,11,33,0
2014-07-27,10,0,26,0
2014-08-03,22,11,22,0
2014-08-10,21,0,21,0
2014-08-17,21,52,21,0
2014-08-24,31,10,21,11
2014-08-31,15,20,15,0
2014-09-07,20,25,20,0
2014-09-14,40,10,10,0
2014-09-21,0,10,20,0
2014-09-28,20,15,24,0
2014-10-05,14,14,10,10
2014-10-12,29,10,10,0
2014-10-19,0,24,24,10
2014-10-26,10,15,20,0
2014-11-02,10,10,28,9
2014-11-09,9,0,14,0
2014-11-16,29,14,24,10
2014-11-23,9,9,9,0
2014-11-30,9,9,14,0
2014-12-07,10,15,19,0
2014-12-14,30,10,61,0
2014-12-21,17,23,35,0
2014-12-28,26,16,36,0
2015-01-04,22,36,31,0
2015-01-11,27,27,27,0
2015-01-18,27,40,27,9
2015-01-25,27,22,22,0
2015-02-01,27,27,27,0
2015-02-08,28,28,23,0
2015-02-15,23,9,23,9
2015-02-22,27,0,36,0
2015-03-01,23,18,41,9
2015-03-08,27,27,36,9
2015-03-15,37,23,41,9
2015-03-22,29,20,10,0
2015-03-29,9,19,38,0
2015-04-05,25,30,44,0
2015-04-12,32,19,37,0
2015-04-19,37,28,19,0
2015-04-26,27,41,27,0
