Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2014-01-05,17,10,2,2
2014-01-12,23,19,5,0
2014-01-19,21,7,9,0
2014-01-26,25,8,6,2
2014-02-02,16,9,7,0
2014-02-09,23,7,7,2
2014-02-16,25,8,5,0
2014-02-23,18,12,5,4
2014-03-02,15,14,5,2
2014-03-09,34,12,4,6
2014-03-16,19,11,4,0
2014-03-23,18,21,3,0
2014-03-30,22,27,6,2
2014-04-06,30,13,9,0
2014-04-13,17,11,4,0
2014-04-20,35,12,8,0
2014-04-27,36,22,4,0
2014-05-04,36,11,5,0
2014-05-11,16,8,4,0
2014-05-18,26,14,5,2
2014-05-25,23,14,8,0
2014-06-01,17,6,7,0
2014-06-08,21,6,3,0
2014-06-15,21,12,6,0
2014-06-22,16,19,10,0
2014-06-29,33,16,4,0
2014-07-06,31,13,3,0
2014-07-13,27,10,6,2
2014-07-20,20,18,8,0
2014-07-27,40,18,10,0
2014-08-03,28,16,7,0
2014-08-10,16,12,5,2
2014-08-17,24,12,7,2
2014-08-24,23,16,5,2
2014-08-31,18,14,7,5
2014-09-07,23,12,2,0
2014-09-14,33,21,5,3
2014-09-21,26,13,2,0
2014-09-28,20,13,5,0
2014-10-05,23,15,4,0
2014-10-12,29,8,7,0
2014-10-19,31,17,10,2
2014-10-26,26,11,8,2
2014-11-02,33,16,6,0
2014-11-09,26,16,2,2
2014-11-16,37,10,5,2
2014-11-23,21,15,12,2
2014-11-30,37,13,11,4
2014-12-07,35,16,6,0
2014-12-14,31,23,8,0
2014-12-21,36,12,3,0
2014-12-28,36,26,15,3
2015-01-04,40,25,8,2
2015-01-11,35,11,8,2
2015-01-18,40,22,5,5
2015-01-25,42,26,7,0
2015-02-01,30,18,4,0
2015-02-08,41,14,7,0
2015-02-15,42,23,8,4
2015-02-22,37,21,10,2
2015-03-01,36,16,10,0
2015-03-08,33,18,7,0
2015-03-15,33,25,5,0
2015-03-22,37,25,6,3
2015-03-29,50,20,5,0
2015-04-05,46,22,7,0
2015-04-12,57,13,9,0
2015-04-19,49,28,7,2
2015-04-26,41,15,9,0
2015-05-03,40,7,6,0
2015-05-10,51,11,7,0
2015-05-17,35,15,5,0
2015-05-24,39,11,5,0
2015-05-31,47,10,10,0
2015-06-07,32,11,9,5
2015-06-14,33,10,9,5
2015-06-21,37,29,12,2
2015-06-28,53,18,8,3
2015-07-05,69,27,14,0
2015-07-12,40,17,7,5
2015-07-19,46,24,9,5
2015-07-26,35,16,11,0
2015-08-02,35,14,10,2
2015-08-09,48,25,12,0
2015-08-16,48,22,5,5
2015-08-23,49,20,7,0
2015-08-30,54,19,15,0
2015-09-06,66,15,7,2
2015-09-13,39,17,3,2
2015-09-20,58,22,6,2
2015-09-27,59,17,7,2
2015-10-04,65,17,14,0
2015-10-11,54,11,5,2
2015-10-18,70,18,11,0
2015-10-25,57,15,11,0
2015-11-01,48,18,19,2
2015-11-08,63,27,13,2
2015-11-15,57,14,9,3
2015-11-22,46,18,8,0
2015-11-29,45,23,10,0
2015-12-06,44,26,12,0
2015-12-13,53,17,12,2
2015-12-20,50,26,10,0
2015-12-27,81,19,14,0
2016-01-03,66,21,12,0
2016-01-10,59,26,8,3
2016-01-17,48,20,16,2
2016-01-24,58,17,7,0
2016-01-31,64,14,12,0
2016-02-07,56,14,4,0
2016-02-14,50,17,5,0
2016-02-21,59,23,7,0
2016-02-28,54,16,6,2
2016-03-06,34,14,7,2
2016-03-13,40,17,7,2
2016-03-20,38,15,7,3
2016-03-27,61,18,9,2
2016-04-03,55,22,11,2
2016-04-10,84,17,15,4
2016-04-17,59,15,9,2
2016-04-24,47,18,7,3
2016-05-01,63,25,10,2
2016-05-08,60,19,15,3
2016-05-15,52,31,13,2
2016-05-22,49,23,9,0
2016-05-29,55,23,8,3
2016-06-05,33,24,9,2
2016-06-12,38,12,8,2
2016-06-19,53,11,6,2
2016-06-26,40,12,10,0
2016-07-03,41,14,9,0
2016-07-10,30,24,8,0
2016-07-17,47,17,15,0
2016-07-24,36,15,9,4
2016-07-31,43,18,12,3
2016-08-07,39,9,14,6
2016-08-14,34,12,7,0
2016-08-21,33,12,8,0
2016-08-28,44,13,9,2
2016-09-04,37,15,4,4
2016-09-11,33,18,11,2
2016-09-18,33,12,8,0
2016-09-25,73,19,10,82
2016-10-02,40,15,9,6
2016-10-09,38,10,18,4
2016-10-16,36,13,8,2
2016-10-23,45,15,5,0
2016-10-30,42,13,11,0
2016-11-06,37,13,9,3
2016-11-13,37,14,6,0
2016-11-20,37,16,6,3
2016-11-27,32,15,7,3
2016-12-04,32,16,7,5
2016-12-11,49,17,6,3
