Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2016-12-18,36,7,12,4
2016-12-25,46,8,10,3
2017-01-01,34,10,5,2
2017-01-08,39,16,10,2
2017-01-15,67,14,8,4
2017-01-22,49,18,8,3
2017-01-29,46,12,8,2
2017-02-05,44,16,7,2
2017-02-12,58,8,9,2
2017-02-19,50,10,6,2
2017-02-26,39,13,6,6
2017-03-05,50,20,7,4
2017-03-12,52,16,11,3
2017-03-19,46,11,7,0
2017-03-26,43,7,8,0
2017-04-02,46,9,7,2
2017-04-09,55,9,10,2
2017-04-16,49,15,10,3
2017-04-23,46,15,11,0
2017-04-30,43,14,8,3
2017-05-07,48,15,10,3
2017-05-14,45,16,6,4
2017-05-21,59,14,8,4
2017-05-28,37,14,10,2
2017-06-04,46,13,6,0
2017-06-11,48,14,5,3
2017-06-18,44,14,13,2
2017-06-25,39,10,12,2
2017-07-02,38,7,8,4
2017-07-09,44,12,12,0
2017-07-16,46,18,17,4
2017-07-23,49,15,9,3
2017-07-30,46,11,11,2
2017-08-06,46,13,13,5
2017-08-13,48,12,9,4
2017-08-20,51,15,12,2
2017-08-27,41,18,9,9
2017-09-03,61,18,8,2
2017-09-10,54,18,11,3
2017-09-17,60,9,7,2
2017-09-24,51,22,13,0
2017-10-01,64,10,10,2
2017-10-08,65,22,11,3
2017-10-15,81,24,10,2
2017-10-22,64,14,5,2
2017-10-29,73,13,7,2
2017-11-05,77,23,8,2
2017-11-12,76,27,5,2
2017-11-19,82,22,9,4
2017-11-26,81,15,6,3
2017-12-03,66,11,10,2
2017-12-10,71,12,7,2
2017-12-17,80,14,13,4
2017-12-24,69,11,16,4
2017-12-31,73,19,10,3
2018-01-07,79,15,9,5
2018-01-14,91,18,11,7
2018-01-21,90,13,9,3
2018-01-28,85,13,8,2
2018-02-04,93,13,7,4
2018-02-11,95,16,13,2
2018-02-18,88,12,10,8
2018-02-25,93,9,10,2
2018-03-04,83,18,16,6
2018-03-11,96,22,15,2
2018-03-18,66,12,3,3
2018-03-25,73,20,17,3
2018-04-01,100,12,9,3
2018-04-08,78,14,12,2
2018-04-15,72,17,14,3
2018-04-22,81,19,8,7
2018-04-29,91,20,11,5
2018-05-06,69,19,9,5
2018-05-13,74,31,7,5
2018-05-20,80,21,3,7
2018-05-27,58,27,10,3
2018-06-03,66,17,9,5
2018-06-10,65,27,7,3
2018-06-17,72,22,11,3
2018-06-24,68,20,10,3
2018-07-01,54,18,13,5
2018-07-08,52,18,12,4
2018-07-15,46,22,4,3
2018-07-22,60,18,11,8
2018-07-29,65,21,10,5
2018-08-05,48,9,8,2
2018-08-12,68,22,11,2
2018-08-19,69,30,14,5
2018-08-26,60,18,8,5
2018-09-02,57,23,9,3
2018-09-09,71,25,10,3
2018-09-16,85,26,8,7
2018-09-23,88,24,10,3
2018-09-30,76,29,16,7
2018-10-07,80,23,7,7
2018-10-14,76,13,9,3
2018-10-21,88,19,12,4
2018-10-28,94,26,5,3
2018-11-04,82,20,9,5
2018-11-11,92,16,7,8
2018-11-18,80,16,6,6
2018-11-25,91,13,8,5
2018-12-02,84,22,7,2
2018-12-09,98,18,8,4
2018-12-16,96,21,6,4
2018-12-23,59,20,13,5
2018-12-30,73,24,9,3
