Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2014-01-05,17,12,2,2
2014-01-12,28,16,4,0
2014-01-19,31,10,5,0
2014-01-26,27,8,6,2
2014-02-02,31,6,4,0
2014-02-09,22,13,5,2
2014-02-16,29,16,6,2
2014-02-23,32,12,7,0
2014-03-02,14,16,7,0
2014-03-09,29,15,5,7
2014-03-16,38,18,5,0
2014-03-23,23,22,7,0
2014-03-30,28,21,6,2
2014-04-06,22,14,10,0
2014-04-13,22,19,4,2
2014-04-20,32,12,10,0
2014-04-27,38,12,6,2
2014-05-04,33,10,5,0
2014-05-11,22,9,5,0
2014-05-18,23,15,8,0
2014-05-25,27,10,9,0
2014-06-01,21,14,4,0
2014-06-08,17,6,9,0
2014-06-15,25,10,9,0
2014-06-22,19,19,6,0
2014-06-29,32,23,8,0
2014-07-06,50,7,3,0
2014-07-13,27,13,9,6
2014-07-20,29,12,4,3
2014-07-27,39,19,9,3
2014-08-03,24,24,8,3
2014-08-10,21,9,4,0
2014-08-17,33,21,4,3
2014-08-24,28,14,11,3
2014-08-31,33,18,4,3
2014-09-07,39,13,3,0
2014-09-14,23,20,5,5
2014-09-21,35,20,7,0
2014-09-28,29,13,7,0
2014-10-05,21,13,4,0
2014-10-12,32,12,11,0
2014-10-19,23,21,5,0
2014-10-26,16,11,11,0
2014-11-02,30,8,7,0
2014-11-09,30,16,3,3
2014-11-16,40,16,3,3
2014-11-23,25,22,10,0
2014-11-30,35,15,9,0
2014-12-07,26,20,3,0
2014-12-14,37,15,17,3
2014-12-21,33,19,14,0
2014-12-28,49,24,6,3
2015-01-04,41,28,13,3
2015-01-11,51,17,14,0
2015-01-18,43,22,8,5
2015-01-25,36,22,5,0
2015-02-01,30,23,8,0
2015-02-08,45,19,5,0
2015-02-15,38,22,4,0
2015-02-22,46,27,14,3
2015-03-01,36,17,13,3
2015-03-08,46,19,10,0
2015-03-15,52,30,3,3
2015-03-22,39,36,7,3
2015-03-29,47,26,8,0
2015-04-05,56,30,11,0
2015-04-12,66,20,13,0
2015-04-19,48,24,16,0
2015-04-26,51,24,12,0
2015-05-03,41,10,12,0
2015-05-10,45,15,10,0
2015-05-17,44,17,6,0
2015-05-24,47,12,6,0
2015-05-31,75,8,8,3
2015-06-07,40,9,16,6
2015-06-14,42,20,11,3
2015-06-21,40,19,14,3
2015-06-28,56,29,9,0
2015-07-05,69,40,20,3
2015-07-12,48,29,13,6
2015-07-19,51,23,14,3
2015-07-26,53,26,18,3
2015-08-02,44,19,7,3
2015-08-09,38,27,14,3
2015-08-16,52,18,11,8
2015-08-23,63,33,5,3
2015-08-30,67,20,18,3
2015-09-06,85,19,8,3
2015-09-13,50,21,8,4
2015-09-20,56,17,13,3
2015-09-27,50,14,10,4
2015-10-04,63,14,9,3
2015-10-11,68,10,5,0
2015-10-18,58,23,18,3
2015-10-25,69,22,6,0
2015-11-01,64,22,14,3
2015-11-08,58,17,18,3
2015-11-15,63,15,10,3
2015-11-22,55,21,11,3
2015-11-29,52,25,9,0
2015-12-06,60,34,10,0
2015-12-13,55,15,13,3
2015-12-20,56,33,9,0
2015-12-27,94,32,11,0
2016-01-03,72,19,11,0
2016-01-10,71,21,15,3
2016-01-17,71,27,12,2
2016-01-24,59,20,11,0
2016-01-31,92,17,13,0
2016-02-07,75,13,6,2
2016-02-14,66,24,8,0
2016-02-21,75,23,13,0
2016-02-28,48,12,5,2
2016-03-06,46,22,7,0
2016-03-13,40,19,5,2
2016-03-20,48,16,13,2
2016-03-27,73,18,12,2
2016-04-03,45,23,15,0
2016-04-10,96,18,13,2
2016-04-17,72,15,14,2
2016-04-24,60,13,5,2
2016-05-01,64,29,7,2
2016-05-08,62,30,11,2
2016-05-15,67,27,13,4
2016-05-22,51,19,8,2
2016-05-29,56,26,9,4
2016-06-05,54,26,7,2
2016-06-12,52,22,15,2
2016-06-19,59,8,6,2
2016-06-26,49,11,8,0
2016-07-03,49,19,9,2
2016-07-10,42,19,12,0
2016-07-17,57,25,18,2
2016-07-24,51,18,10,2
2016-07-31,43,16,8,0
2016-08-07,46,11,11,2
2016-08-14,31,13,8,0
2016-08-21,25,12,7,2
2016-08-28,51,8,8,2
2016-09-04,44,20,11,3
2016-09-11,42,17,12,5
2016-09-18,39,18,10,0
2016-09-25,90,23,5,97
2016-10-02,49,15,8,5
2016-10-09,48,12,13,4
2016-10-16,43,18,16,2
2016-10-23,50,12,8,0
2016-10-30,48,14,13,0
2016-11-06,43,11,12,2
2016-11-13,52,16,9,2
2016-11-20,28,13,5,2
2016-11-27,36,17,11,4
2016-12-04,32,19,6,4
2016-12-11,44,21,8,5
2016-12-18,43,12,7,4
2016-12-25,39,13,8,2
2017-01-01,47,13,6,2
2017-01-08,50,19,9,2
2017-01-15,53,21,5,8
2017-01-22,61,17,10,3
2017-01-29,64,13,5,4
2017-02-05,59,10,15,2
2017-02-12,63,16,13,0
