Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2017-02-19,52,17,10,5
2017-02-26,42,14,10,8
2017-03-05,56,19,10,4
2017-03-12,62,20,17,2
2017-03-19,50,9,6,0
2017-03-26,54,10,7,4
2017-04-02,50,9,9,3
2017-04-09,52,9,10,2
2017-04-16,55,14,10,4
2017-04-23,57,13,12,0
2017-04-30,46,19,7,0
2017-05-07,54,16,11,6
2017-05-14,50,22,7,4
2017-05-21,65,17,10,2
2017-05-28,46,15,8,2
2017-06-04,51,23,14,2
2017-06-11,69,15,8,6
2017-06-18,35,14,13,2
2017-06-25,58,16,11,2
2017-07-02,49,10,12,6
2017-07-09,47,10,10,2
2017-07-16,48,19,13,2
2017-07-23,55,8,10,2
2017-07-30,54,18,8,2
2017-08-06,62,8,8,3
2017-08-13,48,17,13,4
2017-08-20,58,23,9,2
2017-08-27,48,19,8,3
2017-09-03,50,22,13,2
2017-09-10,47,19,6,0
2017-09-17,65,21,10,3
2017-09-24,64,26,13,4
2017-10-01,71,12,15,2
2017-10-08,72,24,17,2
2017-10-15,87,19,12,3
2017-10-22,76,15,7,5
2017-10-29,75,15,7,2
2017-11-05,89,27,9,2
2017-11-12,91,19,7,2
2017-11-19,89,27,10,4
2017-11-26,96,18,9,6
2017-12-03,100,16,13,2
2017-12-10,85,14,7,2
2017-12-17,84,11,18,0
2017-12-24,81,16,10,4
2017-12-31,82,28,16,6
