Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2014-01-05,24,9,9,3
2014-01-12,22,15,5,0
2014-01-19,25,10,7,0
2014-01-26,22,7,5,3
2014-02-02,21,12,6,0
2014-02-09,21,8,6,2
2014-02-16,30,19,8,2
2014-02-23,27,15,11,0
2014-03-02,18,13,5,2
2014-03-09,39,13,5,5
2014-03-16,26,17,5,2
2014-03-23,27,23,7,2
2014-03-30,23,20,5,2
2014-04-06,26,18,6,2
2014-04-13,22,11,2,0
2014-04-20,25,11,7,0
2014-04-27,40,22,9,2
2014-05-04,27,15,5,0
2014-05-11,21,12,6,0
2014-05-18,30,12,7,3
2014-05-25,32,11,5,0
2014-06-01,29,15,10,0
2014-06-08,25,11,4,0
2014-06-15,25,15,10,0
2014-06-22,24,20,11,0
2014-06-29,37,14,5,0
2014-07-06,32,16,8,6
2014-07-13,29,12,6,4
2014-07-20,27,15,8,0
2014-07-27,29,18,10,4
2014-08-03,26,20,8,0
2014-08-10,26,12,8,3
2014-08-17,25,14,4,3
2014-08-24,31,15,8,3
2014-08-31,22,19,7,5
2014-09-07,33,16,8,0
2014-09-14,26,13,7,5
2014-09-21,35,18,5,0
2014-09-28,29,16,7,0
2014-10-05,32,13,8,0
2014-10-12,30,20,12,0
2014-10-19,34,21,10,0
2014-10-26,26,23,10,3
2014-11-02,38,16,6,0
2014-11-09,32,26,5,3
2014-11-16,40,15,5,3
2014-11-23,31,22,10,3
2014-11-30,32,19,8,3
2014-12-07,41,15,11,0
2014-12-14,31,24,8,3
2014-12-21,46,19,9,0
2014-12-28,45,24,17,3
2015-01-04,43,29,7,0
2015-01-11,45,22,8,0
2015-01-18,57,29,8,5
2015-01-25,51,23,5,5
2015-02-01,29,20,7,2
2015-02-08,37,25,7,0
2015-02-15,33,20,7,3
2015-02-22,44,25,8,2
2015-03-01,47,16,13,2
2015-03-08,35,21,10,0
2015-03-15,43,24,3,0
2015-03-22,33,25,7,4
2015-03-29,40,20,7,3
2015-04-05,49,27,10,3
2015-04-12,51,11,9,3
2015-04-19,54,23,7,0
2015-04-26,43,19,10,0
2015-05-03,43,6,10,3
2015-05-10,64,14,10,3
2015-05-17,39,19,4,3
2015-05-24,50,8,7,3
2015-05-31,50,11,8,0
2015-06-07,40,7,9,3
2015-06-14,44,15,9,0
2015-06-21,43,17,7,3
2015-06-28,45,22,14,6
2015-07-05,62,26,11,0
2015-07-12,46,25,12,4
2015-07-19,58,28,16,3
2015-07-26,55,24,17,0
2015-08-02,45,26,6,3
2015-08-09,44,18,13,3
2015-08-16,54,26,8,3
2015-08-23,53,30,15,3
2015-08-30,64,19,14,3
2015-09-06,70,30,12,3
2015-09-13,51,16,10,5
2015-09-20,70,18,13,3
2015-09-27,77,15,8,5
2015-10-04,77,14,10,3
2015-10-11,64,14,5,4
2015-10-18,58,17,10,0
2015-10-25,67,16,11,2
2015-11-01,53,19,14,2
2015-11-08,79,28,10,3
2015-11-15,65,20,7,2
2015-11-22,50,19,7,3
2015-11-29,53,19,12,2
2015-12-06,60,31,14,5
2015-12-13,54,20,14,3
2015-12-20,62,22,12,3
2015-12-27,93,31,16,0
2016-01-03,70,18,9,2
2016-01-10,63,26,10,3
2016-01-17,57,26,8,3
2016-01-24,58,13,7,0
2016-01-31,84,13,17,0
2016-02-07,67,17,6,2
2016-02-14,55,19,7,0
2016-02-21,59,27,13,0
2016-02-28,57,17,9,4
2016-03-06,48,20,8,2
2016-03-13,48,17,4,2
2016-03-20,47,19,12,3
2016-03-27,84,21,12,2
2016-04-03,58,26,9,3
2016-04-10,100,14,11,3
2016-04-17,52,19,10,2
2016-04-24,55,24,6,2
2016-05-01,61,33,11,2
2016-05-08,67,26,10,3
2016-05-15,64,26,12,4
2016-05-22,61,23,9,2
2016-05-29,55,24,12,3
2016-06-05,47,23,8,2
2016-06-12,59,25,9,3
2016-06-19,46,17,9,2
2016-06-26,47,17,10,0
2016-07-03,45,17,14,3
2016-07-10,44,23,12,4
2016-07-17,57,16,12,0
2016-07-24,53,17,16,4
2016-07-31,43,16,7,2
2016-08-07,43,8,8,3
2016-08-14,45,14,14,0
2016-08-21,36,11,8,2
2016-08-28,44,11,9,4
2016-09-04,46,13,8,5
2016-09-11,40,20,15,6
2016-09-18,42,17,6,0
2016-09-25,78,14,7,75
2016-10-02,41,18,11,5
2016-10-09,43,12,8,2
2016-10-16,39,13,5,2
2016-10-23,46,14,6,0
2016-10-30,45,20,11,2
2016-11-06,34,15,10,2
2016-11-13,48,21,9,2
2016-11-20,35,15,7,5
2016-11-27,38,17,7,5
2016-12-04,38,14,5,2
2016-12-11,34,21,8,0
2016-12-18,40,8,6,3
2016-12-25,52,8,10,4
