Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2014-01-05,34,24,0,5
2014-01-12,64,37,12,0
2014-01-19,53,22,27,0
2014-01-26,36,14,10,5
2014-02-02,41,15,13,0
2014-02-09,40,19,9,5
2014-02-16,52,40,17,5
2014-02-23,42,19,14,9
2014-03-02,45,38,12,5
2014-03-09,95,12,10,5
2014-03-16,61,32,7,0
2014-03-23,59,36,9,5
2014-03-30,72,58,10,5
2014-04-06,51,32,17,0
2014-04-13,42,29,10,5
2014-04-20,67,42,17,0
2014-04-27,75,53,10,0
2014-05-04,74,25,10,0
2014-05-11,30,15,15,0
2014-05-18,78,35,13,5
2014-05-25,76,38,15,0
2014-06-01,60,31,23,6
2014-06-08,52,26,17,0
2014-06-15,64,20,17,0
2014-06-22,46,29,20,0
2014-06-29,58,33,9,0
2014-07-06,87,32,9,6
2014-07-13,54,14,11,6
2014-07-20,49,17,20,0
2014-07-27,63,46,17,0
2014-08-03,55,43,12,6
2014-08-10,31,17,23,0
2014-08-17,65,39,14,6
2014-08-24,53,36,19,0
2014-08-31,60,44,14,5
2014-09-07,53,47,5,0
2014-09-14,37,19,16,5
2014-09-21,51,41,8,0
2014-09-28,64,29,21,0
2014-10-05,45,35,11,0
2014-10-12,53,26,21,0
2014-10-19,61,58,16,0
2014-10-26,56,29,21,5
2014-11-02,63,21,10,0
2014-11-09,68,37,5,5
2014-11-16,100,24,18,5
2014-11-23,59,39,33,0
2014-11-30,66,28,10,10
2014-12-07,81,36,10,5
2014-12-14,83,52,25,5
2014-12-21,60,31,19,0
2014-12-28,68,38,15,0
