Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),vaping device: (United Kingdom)
2015-01-04,30,27,33,9
2015-01-11,27,30,33,9
2015-01-18,18,50,30,9
2015-01-25,18,27,21,0
2015-02-01,12,31,27,0
2015-02-08,37,34,19,0
2015-02-15,22,16,28,10
2015-02-22,18,18,27,0
2015-03-01,18,15,43,9
2015-03-08,37,21,34,9
2015-03-15,19,9,28,0
2015-03-22,40,20,23,0
2015-03-29,29,19,42,0
2015-04-05,40,23,57,0
2015-04-12,38,14,25,0
2015-04-19,24,9,32,9
2015-04-26,25,34,46,0
2015-05-03,21,18,37,0
2015-05-10,22,15,34,0
2015-05-17,19,23,40,0
2015-05-24,16,10,42,0
2015-05-31,19,14,31,9
2015-06-07,41,16,38,0
2015-06-14,28,19,57,9
2015-06-21,22,22,42,10
2015-06-28,32,19,38,0
2015-07-05,31,28,37,9
2015-07-12,37,25,37,9
2015-07-19,32,29,35,10
2015-07-26,25,31,38,9
2015-08-02,22,38,48,0
2015-08-09,53,28,50,0
2015-08-16,51,25,51,0
2015-08-23,40,34,59,0
2015-08-30,41,31,38,9
2015-09-06,51,24,54,10
2015-09-13,37,15,34,19
2015-09-20,39,12,36,9
2015-09-27,54,30,54,9
2015-10-04,45,27,54,0
2015-10-11,42,18,70,0
2015-10-18,48,24,60,0
2015-10-25,58,30,36,0
2015-11-01,44,26,71,0
2015-11-08,35,32,32,18
2015-11-15,44,24,41,9
2015-11-22,29,20,26,0
2015-11-29,41,22,55,9
2015-12-06,39,30,44,9
2015-12-13,51,41,35,0
2015-12-20,25,36,69,0
2015-12-27,100,67,70,0
