Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),vaping device: (United Kingdom)
2018-01-07,48,39,42,14
2018-01-14,57,28,60,9
2018-01-21,70,25,48,9
2018-01-28,66,79,51,0
2018-02-04,68,23,42,0
2018-02-11,65,36,75,10
2018-02-18,39,23,39,10
2018-02-25,36,15,36,9
2018-03-04,51,33,29,10
2018-03-11,80,26,58,10
2018-03-18,62,13,42,0
2018-03-25,66,30,40,10
2018-04-01,43,30,53,0
2018-04-08,42,42,26,0
2018-04-15,40,27,40,10
2018-04-22,50,28,47,0
2018-04-29,36,46,52,0
2018-05-06,41,27,37,10
2018-05-13,53,33,33,10
2018-05-20,23,33,40,10
2018-05-27,56,33,36,10
2018-06-03,33,63,53,10
2018-06-10,41,25,32,0
2018-06-17,43,30,46,10
2018-06-24,54,34,37,10
2018-07-01,44,37,40,0
2018-07-08,43,23,43,0
2018-07-15,57,27,47,10
2018-07-22,50,30,33,10
2018-07-29,46,23,66,0
2018-08-05,40,20,46,10
2018-08-12,100,70,60,20
2018-08-19,41,24,65,10
2018-08-26,67,48,48,10
2018-09-02,60,40,30,10
2018-09-09,44,27,51,10
2018-09-16,66,15,43,10
2018-09-23,50,47,43,10
2018-09-30,86,53,23,10
2018-10-07,63,30,50,0
2018-10-14,40,37,47,10
2018-10-21,51,31,51,0
2018-10-28,60,23,55,10
2018-11-04,77,23,42,10
2018-11-11,36,26,19,0
2018-11-18,41,22,54,10
2018-11-25,64,26,32,14
2018-12-02,43,26,26,0
2018-12-09,48,31,24,0
2018-12-16,60,32,32,11
2018-12-23,42,54,66,0
2018-12-30,51,75,82,10
