Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),vaping device: (United Kingdom)
2017-01-01,69,54,73,0
2017-01-08,55,55,81,0
2017-01-15,78,67,67,23
2017-01-22,60,49,53,0
2017-01-29,51,37,62,0
2017-02-05,79,34,56,11
2017-02-12,38,49,53,11
2017-02-19,59,41,48,0
2017-02-26,72,43,65,0
2017-03-05,69,40,54,0
2017-03-12,44,40,66,11
2017-03-19,71,45,53,11
2017-03-26,73,19,34,0
2017-04-02,85,27,54,12
2017-04-09,59,39,43,12
2017-04-16,57,31,58,0
2017-04-23,63,37,77,0
2017-04-30,86,22,60,0
2017-05-07,82,34,78,0
2017-05-14,69,64,100,15
2017-05-21,57,32,65,24
2017-05-28,60,24,76,12
2017-06-04,60,34,49,11
2017-06-11,64,40,52,12
2017-06-18,43,47,66,12
2017-06-25,52,83,64,12
2017-07-02,60,28,85,0
2017-07-09,51,55,55,12
2017-07-16,59,24,67,0
2017-07-23,62,35,66,0
2017-07-30,50,61,61,0
2017-08-06,66,39,70,12
2017-08-13,35,67,55,0
2017-08-20,59,31,35,0
2017-08-27,44,40,44,12
2017-09-03,57,38,57,11
2017-09-10,45,42,49,0
2017-09-17,45,68,75,0
2017-09-24,82,45,67,11
2017-10-01,55,33,59,11
2017-10-08,41,18,67,11
2017-10-15,62,36,58,11
2017-10-22,74,44,62,11
2017-10-29,55,51,66,0
2017-11-05,59,15,62,11
2017-11-12,90,16,29,11
2017-11-19,49,28,52,10
2017-11-26,62,22,33,11
2017-12-03,44,44,62,0
2017-12-10,63,26,37,11
2017-12-17,68,32,28,12
2017-12-24,58,25,66,12
2017-12-31,44,62,55,11
