Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2018-01-07,64,9,7,7
2018-01-14,76,14,8,4
2018-01-21,75,12,6,3
2018-01-28,72,17,9,2
2018-02-04,72,17,4,1
2018-02-11,77,15,11,3
2018-02-18,66,5,11,4
2018-02-25,80,7,10,3
2018-03-04,68,12,11,1
2018-03-11,68,12,11,3
2018-03-18,57,10,8,3
2018-03-25,66,15,11,1
2018-04-01,84,13,11,4
2018-04-08,67,13,9,3
2018-04-15,66,16,8,5
2018-04-22,66,19,7,2
2018-04-29,61,15,6,4
2018-05-06,63,16,8,7
2018-05-13,62,26,11,4
2018-05-20,70,15,8,4
2018-05-27,63,27,6,3
2018-06-03,55,14,9,6
2018-06-10,53,19,6,4
2018-06-17,52,13,7,2
2018-06-24,59,13,7,5
2018-07-01,42,17,8,6
2018-07-08,51,16,8,3
2018-07-15,55,11,6,3
2018-07-22,52,16,8,4
2018-07-29,56,20,4,3
2018-08-05,37,12,5,3
2018-08-12,48,21,11,4
2018-08-19,53,16,11,4
2018-08-26,52,23,9,6
2018-09-02,54,25,4,3
2018-09-09,65,25,6,3
2018-09-16,76,21,9,3
2018-09-23,60,28,8,3
2018-09-30,59,25,13,5
2018-10-07,76,26,9,4
2018-10-14,71,19,6,1
2018-10-21,78,17,7,1
2018-10-28,77,19,5,6
2018-11-04,78,17,7,5
2018-11-11,90,13,5,4
2018-11-18,65,10,7,7
2018-11-25,77,18,9,3
2018-12-02,75,17,7,3
2018-12-09,76,24,10,4
2018-12-16,100,11,6,4
2018-12-23,50,13,9,8
2018-12-30,41,19,6,4
