Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2019-01-06,84,18,15,4
2019-01-13,82,21,7,4
2019-01-20,90,17,10,4
2019-01-27,73,19,6,5
2019-02-03,79,17,11,6
2019-02-10,83,17,5,9
2019-02-17,80,23,8,4
2019-02-24,93,21,6,8
2019-03-03,100,26,6,4
2019-03-10,96,20,15,9
2019-03-17,97,21,11,4
2019-03-24,85,19,12,2
2019-03-31,97,23,7,7
2019-04-07,86,23,8,3
2019-04-14,76,18,12,5
2019-04-21,95,17,9,4
2019-04-28,88,17,9,4
2019-05-05,78,19,11,9
2019-05-12,77,12,9,5
2019-05-19,77,21,9,0
