Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2017-01-01,38,6,5,2
2017-01-08,60,19,11,4
2017-01-15,70,18,9,6
2017-01-22,55,19,7,6
2017-01-29,56,12,7,2
2017-02-05,52,13,8,2
2017-02-12,59,17,9,0
2017-02-19,48,12,9,5
2017-02-26,48,20,12,10
2017-03-05,50,22,9,3
2017-03-12,56,16,11,2
2017-03-19,48,11,15,0
2017-03-26,53,9,10,4
2017-04-02,54,10,10,2
2017-04-09,52,9,12,2
2017-04-16,43,13,14,3
2017-04-23,61,18,12,2
2017-04-30,36,17,12,0
2017-05-07,61,7,9,7
2017-05-14,42,14,10,4
2017-05-21,61,15,9,2
2017-05-28,54,19,15,2
2017-06-04,40,15,9,2
2017-06-11,55,12,4,3
2017-06-18,49,10,12,6
2017-06-25,52,12,8,2
2017-07-02,43,11,11,2
2017-07-09,53,12,11,2
2017-07-16,55,15,16,8
2017-07-23,55,13,9,8
2017-07-30,54,16,6,3
2017-08-06,59,13,11,4
2017-08-13,56,15,13,2
2017-08-20,55,17,14,0
2017-08-27,41,18,8,3
2017-09-03,54,19,6,0
2017-09-10,56,20,10,2
2017-09-17,62,17,13,3
2017-09-24,62,19,6,2
2017-10-01,71,18,20,4
2017-10-08,72,20,15,4
2017-10-15,70,26,8,3
2017-10-22,77,13,11,3
2017-10-29,76,20,8,2
2017-11-05,85,19,13,2
2017-11-12,85,27,6,6
2017-11-19,97,27,10,2
2017-11-26,84,15,7,5
2017-12-03,98,15,9,4
2017-12-10,100,17,9,2
2017-12-17,67,11,10,2
2017-12-24,88,17,14,6
2017-12-31,86,15,12,11
