Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2016-01-03,74,19,13,2
2016-01-10,53,36,14,3
2016-01-17,51,20,14,2
2016-01-24,60,17,7,0
2016-01-31,62,13,19,0
2016-02-07,60,24,7,2
2016-02-14,49,21,12,0
2016-02-21,71,23,12,0
2016-02-28,55,23,7,4
2016-03-06,43,17,7,2
2016-03-13,40,17,6,2
2016-03-20,39,14,10,2
2016-03-27,86,28,13,0
2016-04-03,42,21,6,2
2016-04-10,100,25,12,4
2016-04-17,65,16,14,2
2016-04-24,60,14,5,2
2016-05-01,71,29,12,2
2016-05-08,61,17,12,3
2016-05-15,63,39,12,4
2016-05-22,68,31,10,0
2016-05-29,66,26,9,2
2016-06-05,48,23,13,2
2016-06-12,57,17,7,2
2016-06-19,64,12,10,0
2016-06-26,43,19,6,0
2016-07-03,37,9,9,2
2016-07-10,38,23,13,0
2016-07-17,47,17,16,0
2016-07-24,59,15,19,5
2016-07-31,48,24,8,3
2016-08-07,50,14,15,5
2016-08-14,37,16,10,0
2016-08-21,34,12,8,2
2016-08-28,36,10,12,3
2016-09-04,33,16,9,2
2016-09-11,42,24,14,7
2016-09-18,43,14,10,0
2016-09-25,92,27,6,76
2016-10-02,42,13,16,5
2016-10-09,38,21,15,2
2016-10-16,42,15,9,3
2016-10-23,53,16,11,0
2016-10-30,50,19,8,0
2016-11-06,45,12,12,4
2016-11-13,49,18,5,2
2016-11-20,41,10,3,2
2016-11-27,42,18,7,2
2016-12-04,42,19,14,2
2016-12-11,49,22,9,2
2016-12-18,33,12,11,9
2016-12-25,56,18,13,3
