Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),vaping device: (United Kingdom)
2019-01-06,56,72,31,9
2019-01-13,61,34,46,9
2019-01-20,46,30,30,0
2019-01-27,60,36,30,9
2019-02-03,73,46,46,0
2019-02-10,32,25,22,0
2019-02-17,54,32,41,14
2019-02-24,41,56,28,0
2019-03-03,59,40,53,0
2019-03-10,49,31,34,9
2019-03-17,73,38,41,0
2019-03-24,81,32,35,10
2019-03-31,60,28,38,9
2019-04-07,41,19,35,9
2019-04-14,60,30,40,0
2019-04-21,48,33,25,10
2019-04-28,61,25,28,14
2019-05-05,53,28,56,9
2019-05-12,35,29,45,14
2019-05-19,83,100,66,0
